epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,3491.69,1.32223,0.81621,0.95515,0.64764,0.42812,0.48831,0.2794,1.26832,0.79914,0.9301,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3576.74,1.31694,0.81423,0.95501,0.60276,0.45721,0.49347,0.27989,1.2662,0.79677,0.93072,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3660.55,1.31287,0.81021,0.95322,0.63663,0.43751,0.49549,0.28383,1.26804,0.79303,0.9305,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3744.33,1.31014,0.80331,0.94854,0.62983,0.44827,0.4902,0.2786,1.26628,0.7938,0.92889,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3827.74,1.30695,0.80265,0.95053,0.62992,0.4348,0.48659,0.27868,1.26626,0.79639,0.92806,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3909.93,1.31032,0.80246,0.94957,0.62611,0.44824,0.49369,0.28255,1.26471,0.79421,0.92829,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3993.42,1.30397,0.80021,0.95101,0.64842,0.44999,0.49695,0.28519,1.26038,0.79038,0.92559,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4076.95,1.30221,0.79529,0.94913,0.61571,0.45916,0.4901,0.28123,1.25887,0.79098,0.92799,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4160.27,1.2957,0.78933,0.94749,0.64993,0.44693,0.49247,0.28514,1.25671,0.79142,0.92621,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4243.01,1.29747,0.79265,0.94689,0.61942,0.44639,0.49688,0.2868,1.25436,0.78557,0.92546,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4326.34,1.29042,0.78899,0.94437,0.65384,0.42306,0.49496,0.2878,1.25304,0.78514,0.92462,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4409.82,1.29081,0.78889,0.94343,0.65307,0.43838,0.49915,0.28867,1.25553,0.78462,0.92445,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4493.21,1.29455,0.7894,0.9442,0.65202,0.44157,0.49328,0.28789,1.25428,0.78692,0.92431,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
